name,node_bat,bat_cap,bat_RoC,bat_RoD,bat_eff
Sto_CPLE_4h,20562,250,62.5,62.5,0.9
Sto_CPLE_6h,6654,250,41.67,41.67,0.9
Sto_CPLE_8h,20896,250,31.25,31.25,0.9
Sto_CPLW_4h,10019,250,62.5,62.5,0.9
Sto_CPLW_6h,28601,250,41.67,41.67,0.9
Sto_CPLW_8h,6024,250,31.25,31.25,0.9
Sto_DUK_4h,30882,500,125,125,0.9
Sto_DUK_6h,14722,500,83.33,83.33,0.9
Sto_DUK_8h,14001,500,62.5,62.5,0.9
Sto_solar_CPLE_4h,7557,140,35,35,0.9
Sto_solar_CPLE_6h,7062,140,23.33,23.33,0.9
Sto_solar_CPLE_8h,28990,140,17.5,17.5,0.9
Sto_solar_CPLW_4h,11731,140,35,35,0.9
Sto_solar_CPLW_6h,11731,140,23.33,23.33,0.9
Sto_solar_CPLW_8h,11731,140,17.5,17.5,0.9
Sto_solar_DUK_4h,6684,140,35,35,0.9
Sto_solar_DUK_6h,7049,140,23.33,23.33,0.9
Sto_solar_DUK_8h,15775,140,17.5,17.5,0.9
PHS_cple_1,30069,131,39.3,39.3,0.75
PHS_duk_1,1851,93.5,28.05,28.05,0.75
PHS_duk_2,15622,56.5,16.95,16.95,0.75
PHS_duk_3,1063,1021,306.3,306.3,0.75
PHS_duk_4,7798,40,12,12,0.75
PHS_duk_5,15692,280,84,84,0.75
PHS_duk_6,15641,58,17.4,17.4,0.75
