PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
870.1722924,766.1693791,766.1693791,766.1693791,990.1114782,990.1114782,1076.563665,1189.624945,1189.624945,1051.812907,1051.812907,887.4428988
869.9358326,766.5853798,766.5853798,766.5853798,989.8424262,989.8424262,1076.27112,1190.270865,1190.270865,1052.384002,1052.384002,887.9247464
868.7535332,766.2733793,766.2733793,766.2733793,988.497166,988.497166,1074.808398,1189.786425,1189.786425,1051.955681,1051.955681,887.5633607
870.881672,766.1693791,766.1693791,766.1693791,990.9186343,990.9186343,1077.441298,1189.624945,1189.624945,1051.812907,1051.812907,887.4428988
870.881672,766.3773795,766.3773795,766.3773795,990.9186343,990.9186343,1077.441298,1189.947905,1189.947905,1052.098454,1052.098454,887.6838226
871.5910515,765.8573785,765.8573785,765.8573785,991.7257904,991.7257904,1078.318932,1189.140504,1189.140504,1051.384587,1051.384587,887.081513
869.6993727,766.2733793,766.2733793,766.2733793,989.5733742,989.5733742,1075.978576,1189.786425,1189.786425,1051.955681,1051.955681,887.5633607
870.881672,765.7533783,765.7533783,765.7533783,990.9186343,990.9186343,1077.441298,1188.979024,1188.979024,1051.241813,1051.241813,886.9610511
870.6452121,765.9613787,765.9613787,765.9613787,990.6495823,990.6495823,1077.148754,1189.301984,1189.301984,1051.52736,1051.52736,887.2019749
871.1181318,765.9613787,765.9613787,765.9613787,991.1876864,991.1876864,1077.733843,1189.301984,1189.301984,1051.52736,1051.52736,887.2019749
872.0639713,765.7533783,765.7533783,765.7533783,992.2638945,992.2638945,1078.904021,1188.979024,1188.979024,1051.241813,1051.241813,886.9610511
871.5910515,765.8573785,765.8573785,765.8573785,991.7257904,991.7257904,1078.318932,1189.140504,1189.140504,1051.384587,1051.384587,887.081513
872.3004312,765.545378,765.545378,765.545378,992.5329465,992.5329465,1079.196565,1188.656064,1188.656064,1050.956266,1050.956266,886.7201273
872.0639713,765.545378,765.545378,765.545378,992.2638945,992.2638945,1078.904021,1188.656064,1188.656064,1050.956266,1050.956266,886.7201273
873.0098107,765.545378,765.545378,765.545378,993.3401026,993.3401026,1080.074199,1188.656064,1188.656064,1050.956266,1050.956266,886.7201273
872.7733509,766.0653789,766.0653789,766.0653789,993.0710506,993.0710506,1079.781654,1189.463464,1189.463464,1051.670134,1051.670134,887.3224368
873.2462706,766.1693791,766.1693791,766.1693791,993.6091546,993.6091546,1080.366743,1189.624945,1189.624945,1051.812907,1051.812907,887.4428988
872.3004312,766.1693791,766.1693791,766.1693791,992.5329465,992.5329465,1079.196565,1189.624945,1189.624945,1051.812907,1051.812907,887.4428988
873.7191903,766.3773795,766.3773795,766.3773795,994.1472587,994.1472587,1080.951832,1189.947905,1189.947905,1052.098454,1052.098454,887.6838226
871.8275115,766.1693791,766.1693791,766.1693791,991.9948425,991.9948425,1078.611476,1189.624945,1189.624945,1051.812907,1051.812907,887.4428988
872.536891,766.68938,766.68938,766.68938,992.8019985,992.8019985,1079.48911,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
872.536891,766.7933802,766.7933802,766.7933802,992.8019985,992.8019985,1079.48911,1190.593827,1190.593827,1052.669549,1052.669549,888.1656702
872.3004312,766.68938,766.68938,766.68938,992.5329465,992.5329465,1079.196565,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
872.7733509,767.0013806,767.0013806,767.0013806,993.0710506,993.0710506,1079.781654,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
873.0098107,767.0013806,767.0013806,767.0013806,993.3401026,993.3401026,1080.074199,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
871.8275115,767.209381,767.209381,767.209381,991.9948425,991.9948425,1078.611476,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
872.3004312,766.8973804,766.8973804,766.8973804,992.5329465,992.5329465,1079.196565,1190.755307,1190.755307,1052.812322,1052.812322,888.2861321
872.7733509,767.209381,767.209381,767.209381,993.0710506,993.0710506,1079.781654,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.8275115,766.8973804,766.8973804,766.8973804,991.9948425,991.9948425,1078.611476,1190.755307,1190.755307,1052.812322,1052.812322,888.2861321
